Timestamp,TEA,FLAVOR,MILK,ICE [Ice Level],SWEETNESS [Sweetness Level],Toppings,NAME,,Started,Completed
11/3/2022 20:46:59,TARO,,MILK,75%,50%,BOBA,gabby ,,TRUE,TRUE
11/3/2022 20:48:07,JSMN,"MNGO, PSNFRT",,0%,25%,LYCHEE,soha ,,TRUE,TRUE
11/3/2022 20:49:26,OLNG,WNTML,MILK,50%,100%,BOBA,larissa ,,TRUE,TRUE
11/3/2022 20:51:07,THAI,,MILK,0%,100%,BOBA,kayla ,,TRUE,TRUE
11/3/2022 20:52:37,JSMN,PCH,,25%,25%,BOBA,extra boba sofia ,,TRUE,TRUE
11/3/2022 20:53:08,JSMN,"KQ, LYCH",,25%,75%,LYCHEE,ella 1,,TRUE,TRUE
11/3/2022 20:53:58,BLK,ROSE,MILK,0%,25%,BOBA,ella 2 ,,TRUE,TRUE
11/3/2022 20:55:49,BLK,,MILK,25%,100%,BOBA,may ,,TRUE,TRUE
11/3/2022 20:57:04,THAI,,MILK,75%,75%,BOBA,jada ,,TRUE,TRUE
11/3/2022 20:58:42,TARO,,Oat,0%,0%,BOBA,Jp,,TRUE,TRUE
11/3/2022 20:59:12,BLK,,MILK,25%,100%,,jp 2,,TRUE,TRUE
11/3/2022 21:00:08,BSL,,MILK,0%,,BOBA,arjun 1,,TRUE,TRUE
11/3/2022 21:00:46,DTYMTCH,,MILK,0%,,BOBA,arjun 2,,TRUE,TRUE
11/3/2022 21:02:08,BLK,,MILK,25%,100%,BOBA,theo ,,TRUE,TRUE
11/3/2022 21:03:03,THAI,,MILK,25%,25%,BOBA,melissa,,TRUE,TRUE
11/3/2022 21:03:36,OLNG,,MILK,25%,100%,BOBA,katelyn,,TRUE,TRUE
11/3/2022 21:05:21,BSL,,MILK,,,,jackie ,,TRUE,TRUE
11/3/2022 21:06:33,TARO,,MILK,25%,75%,LYCHEE,michelle ,,TRUE,TRUE
11/3/2022 21:08:10,OLNG,KQ,,25%,25%,POPPIN,natalie ,,TRUE,TRUE
11/3/2022 21:10:01,JSMN,,MILK,0%,50%,BOBA,serenat ,,TRUE,TRUE
11/3/2022 21:10:33,TARO,,MILK,0%,50%,BOBA,serenat 2,,TRUE,TRUE
11/3/2022 21:11:31,MTCH,,MILK,,,BOBA,francisco ,,TRUE,TRUE
11/3/2022 21:12:13,BLK,,MILK,25%,50%,BOBA,steven ,,TRUE,TRUE
11/3/2022 21:14:12,JSMN,"MNGO, PSNFRT",,25%,25%,BOBA,julianne ,,TRUE,TRUE
11/3/2022 21:14:46,THAI,,MILK,25%,100%,BOBA,daniel ,,TRUE,TRUE
11/3/2022 21:16:25,THAI,,MILK,75%,50%,BOBA,gabrielle ,,TRUE,TRUE
11/3/2022 21:17:14,BSL,,MILK,,,BOBA,ellie ,,TRUE,TRUE
11/3/2022 21:18:10,TARO,,MILK,25%,100%,BOBA,Mia ,,TRUE,TRUE
11/3/2022 21:18:58,TARO,,MILK,25%,50%,BOBA,Matthew 1 ,,TRUE,TRUE
11/3/2022 21:19:18,TARO,,MILK,25%,100%,BOBA,matthew 2 ,,TRUE,TRUE
