Timestamp,TEA,FLAVOR,MILK,ICE [Ice Level],SWEETNESS [Sweetness Level],Toppings,NAME,,Started,Completed
10/25/2022 20:21:55,BSL,,Almond,,,BOBA,ally ,,TRUE,TRUE
10/25/2022 20:22:37,DTYMTCH,,Oat,,,,ryan ,,TRUE,TRUE
10/25/2022 20:24:01,SPECIAL,,,25%,,LYCHEE,phyllis ,,TRUE,TRUE
10/25/2022 20:25:16,TARO,,MILK,0%,75%,BOBA,joy,,TRUE,TRUE
10/25/2022 20:27:17,MTCH,,MILK,,,BOBA,Omar,,TRUE,TRUE
10/25/2022 20:27:36,JSMN,"MNGO, PSNFRT",,100%,100%,POPPIN,Omar 2,,TRUE,TRUE
10/25/2022 20:29:07,THAI,,MILK,25%,75%,BOBA,Lucy,,TRUE,TRUE
10/25/2022 20:30:05,OLNG,"HNY, PCH",,50%,100%,LYCHEE,Mac,,TRUE,TRUE
10/25/2022 20:30:59,JSMN,PSNFRT,,0%,75%,LYCHEE,Emma,,TRUE,TRUE
10/25/2022 20:31:52,JSMN,LYCH,,100%,75%,LYCHEE,Victoria,,TRUE,TRUE
10/25/2022 20:32:43,JSMN,"KQ, LYCH",,25%,75%,BOBA,Serena,,TRUE,TRUE
10/25/2022 20:33:27,BLK,"MNGO, PSNFRT",,100%,75%,BOBA,Anais,,TRUE,TRUE
10/25/2022 20:34:30,SPECIAL,,,50%,50%,BOBA,Zora,,TRUE,TRUE
10/25/2022 20:35:13,JSMN,WNTML,MILK,25%,50%,BOBA,Mellie,,TRUE,TRUE
10/25/2022 20:38:01,OLNG,PCH,,50%,25%,BOBA,Sophia (extra boba),,TRUE,TRUE
10/25/2022 20:38:50,DTYMTCH,,MILK,,,BOBA,Leila,,TRUE,TRUE
10/25/2022 20:39:34,OLNG,"KQ, LYCH",,50%,50%,,Leila 2,,TRUE,TRUE
10/25/2022 20:41:01,OLNG,"KQ, LYCH",,25%,25%,LYCHEE,Ella,,TRUE,TRUE
10/25/2022 20:41:58,TARO,,Oat,50%,50%,BOBA,Jonna,,TRUE,TRUE
10/25/2022 20:42:54,BSL,,MILK,,,BOBA,Eunice,,TRUE,TRUE
10/25/2022 20:43:52,OLNG,,MILK,100%,50%,BOBA,Abby,,TRUE,TRUE
10/25/2022 20:44:44,OLNG,,MILK,50%,100%,BOBA,Leslie 1,,TRUE,TRUE
10/25/2022 20:45:02,TARO,,MILK,50%,75%,BOBA,Leslie 2,,TRUE,TRUE
10/25/2022 20:46:24,BLK,ROSE,MILK,25%,25%,BOBA,Jing,,TRUE,TRUE
10/25/2022 20:47:20,BSL,,MILK,,,BOBA,Timi,,TRUE,TRUE
10/25/2022 20:47:54,BSL,,MILK,,,BOBA,Amara,,TRUE,TRUE
10/25/2022 20:48:55,BLK,,MILK,50%,75%,BOBA,Natalie,,TRUE,TRUE
10/25/2022 20:49:34,TARO,,MILK,50%,50%,BOBA,Claire,,TRUE,TRUE
10/25/2022 20:50:13,THAI,,MILK,50%,50%,BOBA,Ananya,,TRUE,TRUE
10/25/2022 20:51:04,THAI,,MILK,25%,25%,LYCHEE,Victoria,,TRUE,TRUE
10/25/2022 20:51:58,THAI,,MILK,25%,50%,BOBA,Betsua,,TRUE,TRUE
10/25/2022 20:52:09,THAI,,MILK,100%,100%,BOBA,Betsua 2,,TRUE,TRUE
10/25/2022 20:53:20,OLNG,PSNFRT,,25%,50%,BOBA,William,,TRUE,TRUE
10/25/2022 20:54:11,OLNG,WNTML,MILK,50%,50%,,K,,TRUE,TRUE
10/25/2022 20:55:28,OLNG,WNTML,MILK,50%,100%,BOBA,Red 1 (fresh milk),,TRUE,TRUE
10/25/2022 20:55:57,TARO,,MILK,50%,100%,BOBA,Red 2,,TRUE,TRUE
10/25/2022 20:57:11,BLK,ROSE,MILK,50%,25%,BOBA,Emily,,TRUE,TRUE
10/25/2022 20:58:14,BLK,ROSE,MILK,25%,25%,"BOBA, LYCHEE",Rachel,,TRUE,TRUE
10/25/2022 20:59:14,BSL,,MILK,,,BOBA,Brenda,,TRUE,TRUE
10/25/2022 21:00:22,BSL,,MILK,,,LYCHEE,Alexis,,TRUE,TRUE
10/25/2022 21:01:21,OLNG,"HNY, PCH",,25%,50%,LYCHEE,Drea,,TRUE,TRUE
10/25/2022 21:02:04,BLK,ROSE,MILK,25%,25%,POPPIN,DRea 2,,TRUE,TRUE
10/25/2022 21:03:25,BSL,,MILK,,,LYCHEE,Mia,,TRUE,TRUE
10/25/2022 21:04:17,OLNG,,MILK,25%,50%,POPPIN,Gabrielle,,TRUE,TRUE
10/25/2022 21:05:16,THAI,,MILK,100%,100%,,Ellie,,TRUE,TRUE
10/25/2022 21:06:10,BSL,,MILK,,,,Abby,,TRUE,TRUE
10/25/2022 21:06:43,THAI,,MILK,100%,50%,,London,,TRUE,TRUE
10/25/2022 21:07:35,BLK,ROSE,MILK,25%,75%,,Chau,,TRUE,TRUE
10/25/2022 21:15:55,MTCH,,Oat,,,,Taylor,,TRUE,TRUE
10/25/2022 21:18:47,MTCH,,MILK,,,,Youngseo,,TRUE,TRUE
10/25/2022 21:20:13,,,Soy,,,,Luke - Chai BSL,,TRUE,TRUE
10/25/2022 21:24:14,TARO,,MILK,25%,100%,,Nadia,,TRUE,TRUE
10/25/2022 21:24:40,BSL,,MILK,25%,100%,,Haddie,,TRUE,TRUE
10/25/2022 21:25:25,BLK,ROSE,MILK,50%,50%,,Melissa,,TRUE,TRUE
10/25/2022 21:26:20,OLNG,"MNGO, PSNFRT",,,,LYCHEE,Mariana,,TRUE,TRUE
